id,name,code,description,data_code
uy_document_01,e-Ticket,101,,UY.DOCUMENT.CODE
uy_document_02,Nota de Crédito de e-Ticket,102,,UY.DOCUMENT.CODE
uy_document_03,Nota de Débito de e-Ticket,103,,UY.DOCUMENT.CODE
uy_document_04,e-Factura,111,,UY.DOCUMENT.CODE
uy_document_05,Nota de Crédito de e-Factura,112,,UY.DOCUMENT.CODE
uy_document_06,Nota de Débito de e-Factura,113,,UY.DOCUMENT.CODE
uy_document_07,eFactura de exportación,121,,UY.DOCUMENT.CODE
uy_document_08,Nota de crédito de eFactura de exportación,122,,UY.DOCUMENT.CODE
uy_document_09,Nota de débito de eFactura de exportación,123,,UY.DOCUMENT.CODE
uy_document_10,eRemito de exportación,124,,UY.DOCUMENT.CODE
uy_document_11,eTicket Venta por cuenta ajena,131,,UY.DOCUMENT.CODE
uy_document_12,NC eTicket Venta por cuenta ajena,132,,UY.DOCUMENT.CODE
uy_document_13,ND eTicket venta por cuenta ajena,133,,UY.DOCUMENT.CODE
uy_document_14,eFactura Venta por cuenta ajena,141,,UY.DOCUMENT.CODE
uy_document_15,NC eFactura Venta por cuenta ajena,142,,UY.DOCUMENT.CODE
uy_document_16,ND eFactura venta por cuenta ajena,143,,UY.DOCUMENT.CODE
uy_document_17,eBoleta de entrada,151,,UY.DOCUMENT.CODE
uy_document_18,NC eBoleta de entrada ,152,,UY.DOCUMENT.CODE
uy_document_19,ND eBoleta de entrada,153,,UY.DOCUMENT.CODE
uy_document_20,eRemito,181,,UY.DOCUMENT.CODE
uy_document_21,eResguardo,182,,UY.DOCUMENT.CODE
uy_document_22,e-Ticket Contingencia,201,,UY.DOCUMENT.CODE
uy_document_23,Nota de Crédito de e-Ticket Contingencia,202,,UY.DOCUMENT.CODE
uy_document_24,Nota de Débito de e-Ticket Contingencia,203,,UY.DOCUMENT.CODE
uy_document_25,e-Factura Contingencia,211,,UY.DOCUMENT.CODE
uy_document_26,Nota de Crédito de e-Factura Contingencia,212,,UY.DOCUMENT.CODE
uy_document_27,Nota de Débito de e-Factura Contingencia,213,,UY.DOCUMENT.CODE
uy_currency_01,Peso argentino,ARS,,UY.CURRENCY.CODE
uy_currency_02,Real brasileño,BRL,,UY.CURRENCY.CODE
uy_currency_03,Dólar canadiense,CAD,,UY.CURRENCY.CODE
uy_currency_04,Peso chileno,CLP,,UY.CURRENCY.CODE
uy_currency_05,Yuan Renminbi de China,CNY,,UY.CURRENCY.CODE
uy_currency_06,Peso colombiano,COP,,UY.CURRENCY.CODE
uy_currency_07,Euro,EUR,,UY.CURRENCY.CODE
uy_currency_08,Yen japonés,JPY,,UY.CURRENCY.CODE
uy_currency_09,Peso mexicano,MXN,,UY.CURRENCY.CODE
uy_currency_10,Guaraní paraguayo,PYG,,UY.CURRENCY.CODE
uy_currency_11,Nuevo sol peruano,PEN,,UY.CURRENCY.CODE
uy_currency_12,Dólar estadounidense,USD,,UY.CURRENCY.CODE
uy_currency_13,Peso uruguayo,UYU,,UY.CURRENCY.CODE
